query,expected_agent,router_agent,actual_agent,latency,relevance_score,botanical_name,botanical_match,num_results,warnings
Geographic distribution of jackfruit tree in India.,gis,gis,GISAgent,0.13016719999723136,3,Artocarpus heterophyllus,0,5,Found information about Artocarpus heterophyllus instead of requested plant; Found information about Dipterocarpus indicus instead of requested plant; Found information about Ficus benjamina instead of requested plant; Found information about Calophyllum apetalum instead of requested plant; Found information about Moringa oleifera instead of requested plant; No direct matches found for 'geographic distribution'. Showing semantically similar plants.
Where is curry leaf plant commonly found?,gis,gis,GISAgent,0.12810510001145303,3,Murraya koenigii (L.) Spreng.,0,5,Found information about Murraya koenigii (L.) Spreng. instead of requested plant; Found information about Citrus limon instead of requested plant; Found information about Tabernaemontana divaricata instead of requested plant; Found information about Moringa oleifera instead of requested plant; Found information about Punica granatum instead of requested plant; No direct matches found for 'where is'. Showing semantically similar plants.
Native habitat of jasmine shrubs.,gis,gis,GISAgent,0.06999030002043582,3,Tabernaemontana divaricata,0,3,
Where do guava trees grow naturally?,gis,gis,GISAgent,0.13247809998574667,3,Psidium guajava,0,5,Found information about Psidium guajava instead of requested plant; Found information about Artocarpus heterophyllus instead of requested plant; Found information about Azadirachta indica instead of requested plant; Found information about Syzygium jambos instead of requested plant; Found information about Syzygium cumini instead of requested plant; No direct matches found for 'where do'. Showing semantically similar plants.
Climatic zone of hibiscus plants.,gis,research,ResearchAgent,0.1271584000205621,3,Hibiscus rosa-sinensis,0,5,"Found information about Hibiscus rosa-sinensis instead of requested plant; Found information about Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum) instead of requested plant; Found information about Mangifera indica instead of requested plant; Found information about Amaranthus viridis instead of requested plant; Found information about Ficus religiosa instead of requested plant; No direct matches found for 'climatic zone'. Showing semantically similar plants."
Regions where jamun trees thrive.,gis,gis,GISAgent,0.12896870000986382,3,Syzygium cumini,0,5,Found information about Syzygium cumini instead of requested plant; Found information about Syzygium jambos instead of requested plant; Found information about Artocarpus heterophyllus instead of requested plant; Found information about Aegle marmelos instead of requested plant; Found information about Ficus benjamina instead of requested plant; No direct matches found for 'regions where'. Showing semantically similar plants.
Habitat of bamboo species in South India.,gis,gis,GISAgent,0.0887298000161536,3,Calophyllum apetalum,0,5,"Found information about Calophyllum apetalum instead of requested plant; Found information about Bambusoideae (subfamily, e.g. Bambusa vulgaris) instead of requested plant; Found information about Rauvolfia serpentina instead of requested plant; Found information about Moringa oleifera instead of requested plant; Found information about Uraria picta instead of requested plant; No direct matches found for 'habitat of'. Showing semantically similar plants."
Which regions have abundant neem plantations?,gis,gis,GISAgent,0.11542210000334308,3,Azadirachta indica,0,1,
Growth regions for Indian spinach.,gis,gis,GISAgent,0.116232400003355,3,Basella alba,0,1,
Distribution of moringa across Karnataka.,gis,gis,GISAgent,0.11169969997717999,3,Moringa oleifera,0,1,
Natural habitat of Indian bay leaf tree.,gis,gis,GISAgent,0.128898199996911,3,Calophyllum apetalum,0,5,"Found information about Calophyllum apetalum instead of requested plant; Found information about Ficus benjamina instead of requested plant; Found information about Aegle marmelos instead of requested plant; Found information about Ficus auriculata instead of requested plant; Found information about Dipterocarpus indicus instead of requested plant; No direct matches found for 'natural habitat, indian bay'. Showing semantically similar plants."
Where do oleander shrubs naturally occur?,gis,gis,GISAgent,0.1378188999951817,3,Nerium oleander,0,5,"Found information about Nerium oleander instead of requested plant; Found information about Nerium oleander instead of requested plant; Found information about Bambusoideae (subfamily, e.g. Bambusa vulgaris) instead of requested plant; Found information about Uraria picta instead of requested plant; Found information about Punica granatum instead of requested plant; No direct matches found for 'where do'. Showing semantically similar plants."
Climatic preference of tulsi plants.,gis,research,ResearchAgent,0.12850240000989288,3,"Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum)",0,5,"Found information about Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum) instead of requested plant; Found information about Hibiscus rosa-sinensis instead of requested plant; Found information about Amaranthus viridis instead of requested plant; Found information about Mangifera indica instead of requested plant; Found information about Ficus benjamina instead of requested plant; No direct matches found for 'holy basil, tulsi, ocimum sanctum, climatic preference'. Showing semantically similar plants."
Is the Ashoka tree endangered?,iucn,iucn,IUCNAgent,0.11308530002133921,3,Saraca asoca,0,1,
IUCN status of Indian sandalwood.,iucn,iucn,IUCNAgent,0.11037609999766573,3,Santalum album,0,1,
Is the jackfruit tree threatened?,iucn,iucn,IUCNAgent,0.12999450002098456,3,Nyctanthes arbor-tristis,0,5,Found information about Nyctanthes arbor-tristis instead of requested plant; Found information about Alpinia galanga (L.) Willd instead of requested plant; Found information about Artocarpus heterophyllus instead of requested plant; Found information about Saraca asoca instead of requested plant; Found information about Nilgirianthus ciliatus (also called Strobilanthes ciliatus) instead of requested plant; No direct matches found for 'is the'. Showing semantically similar plants.
Conservation status of the neem tree.,iucn,iucn,IUCNAgent,0.11882129998411983,3,Azadirachta indica,0,1,
Is jasmine at risk according to IUCN?,iucn,iucn,IUCNAgent,0.0672152999904938,3,"Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum)",0,3,
Endangered status of wild amla.,iucn,iucn,IUCNAgent,0.0907805000024382,3,Alpinia galanga (L.) Willd,0,5,"Found information about Alpinia galanga (L.) Willd instead of requested plant; Found information about Saraca asoca instead of requested plant; Found information about Nyctanthes arbor-tristis instead of requested plant; Found information about Nilgirianthus ciliatus (also called Strobilanthes ciliatus) instead of requested plant; Found information about Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum) instead of requested plant; No direct matches found for 'endangered status'. Showing semantically similar plants."
Is pennywort vulnerable?,iucn,research,ResearchAgent,0.13294529999257065,3,Nerium oleander,0,5,Found information about Nerium oleander instead of requested plant; Found information about Tabernaemontana divaricata instead of requested plant; Found information about Pongamia pinnata instead of requested plant; Found information about Piper betle instead of requested plant; Found information about Eclipta prostrata instead of requested plant; No direct matches found for 'is pennywort'. Showing semantically similar plants.
Threat level of Indian bael tree.,iucn,iucn,IUCNAgent,0.12946880000527017,3,Murraya koenigii (L.) Spreng.,0,5,"Found information about Murraya koenigii (L.) Spreng. instead of requested plant; Found information about Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum) instead of requested plant; Found information about Moringa oleifera instead of requested plant; Found information about Nyctanthes arbor-tristis instead of requested plant; Found information about Bambusoideae (subfamily, e.g. Bambusa vulgaris) instead of requested plant; No direct matches found for 'indian bael, threat level'. Showing semantically similar plants."
What is the red list category of jamun?,iucn,iucn,IUCNAgent,0.1433965000032913,3,Syzygium jambos,0,5,"Found information about Syzygium jambos instead of requested plant; Found information about Syzygium cumini instead of requested plant; Found information about Ficus religiosa instead of requested plant; Found information about Bambusoideae (subfamily, e.g. Bambusa vulgaris) instead of requested plant; Found information about Moringa oleifera instead of requested plant; No direct matches found for 'what is'. Showing semantically similar plants."
Is guava considered an endangered species?,iucn,iucn,IUCNAgent,0.13510829998995177,3,Alpinia galanga (L.) Willd,0,5,"Found information about Alpinia galanga (L.) Willd instead of requested plant; Found information about Mentha spp. instead of requested plant; Found information about Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum) instead of requested plant; Found information about Moringa oleifera instead of requested plant; Found information about Psidium guajava instead of requested plant; No direct matches found for 'is guava'. Showing semantically similar plants."
Is oleander protected under IUCN?,iucn,iucn,IUCNAgent,0.09848499999498017,3,Nerium oleander,0,5,"Found information about Nerium oleander instead of requested plant; Found information about Moringa oleifera instead of requested plant; Found information about Bambusoideae (subfamily, e.g. Bambusa vulgaris) instead of requested plant; Found information about Azadirachta indica instead of requested plant; Found information about Phyllanthus acidus instead of requested plant; No direct matches found for 'is oleander'. Showing semantically similar plants."
Is curry leaf plant endangered?,iucn,iucn,IUCNAgent,0.09057919998303987,3,Murraya koenigii (L.) Spreng.,0,5,Found information about Murraya koenigii (L.) Spreng. instead of requested plant; Found information about Moringa oleifera instead of requested plant; Found information about Mentha spp. instead of requested plant; Found information about Piper betle instead of requested plant; Found information about Brassica juncea instead of requested plant; No direct matches found for 'is curry'. Showing semantically similar plants.
IUCN red list for moringa plant.,iucn,iucn,IUCNAgent,0.11286390002351254,3,Moringa oleifera,0,1,
Is hibiscus under threat?,iucn,iucn,IUCNAgent,0.1291065000114031,3,Hibiscus rosa-sinensis,0,5,"Found information about Hibiscus rosa-sinensis instead of requested plant; Found information about Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum) instead of requested plant; Found information about Nyctanthes arbor-tristis instead of requested plant; Found information about Azadirachta indica instead of requested plant; Found information about Alpinia galanga (L.) Willd instead of requested plant; No direct matches found for 'is hibiscus'. Showing semantically similar plants."
Is saraca asoca listed as endangered?,iucn,iucn,IUCNAgent,0.12042729998938739,5,Saraca asoca,1,1,
What are the medicinal uses and habitat of neem?,cross,gis,GISAgent,0.12619680000352673,3,Azadirachta indica,0,1,
Give the distribution and IUCN status of sandalwood.,cross,iucn,IUCNAgent,0.12641600001370534,3,Santalum album,0,5,"Found information about Santalum album instead of requested plant; Found information about Bambusoideae (subfamily, e.g. Bambusa vulgaris) instead of requested plant; Found information about Moringa oleifera instead of requested plant; Found information about Syzygium jambos instead of requested plant; Found information about Syzygium cumini instead of requested plant; No direct matches found for 'give the'. Showing semantically similar plants."
What is the habitat and medicinal value of moringa?,cross,gis,GISAgent,0.1092054000182543,3,Moringa oleifera,0,1,
Provide medicinal uses and conservation status of jasmine.,cross,iucn,IUCNAgent,0.10711479999008588,3,Nyctanthes arbor-tristis,0,2,
Habitat and endangered status of Ashoka tree?,cross,iucn,IUCNAgent,0.11795189999975264,3,Saraca asoca,0,1,
What is the IUCN status and habitat of guava tree?,cross,iucn,IUCNAgent,0.12079630000516772,3,Psidium guajava,0,5,Found information about Psidium guajava instead of requested plant; Found information about Saraca asoca instead of requested plant; Found information about Murraya koenigii (L.) Spreng. instead of requested plant; Found information about Moringa oleifera instead of requested plant; Found information about Nilgirianthus ciliatus (also called Strobilanthes ciliatus) instead of requested plant; No direct matches found for 'what is'. Showing semantically similar plants.
Uses and distribution of curry leaf plant?,cross,gis,GISAgent,0.12458390000392683,3,Murraya koenigii (L.) Spreng.,0,5,Found information about Murraya koenigii (L.) Spreng. instead of requested plant; Found information about Citrus limon instead of requested plant; Found information about Carissa carandas instead of requested plant; Found information about Tabernaemontana divaricata instead of requested plant; Found information about Justicia adhatoda instead of requested plant; No direct matches found for 'uses and'. Showing semantically similar plants.
Traditional benefits and threatened status of jamun.,cross,iucn,IUCNAgent,0.1242865999811329,3,Syzygium jambos,0,5,"Found information about Syzygium jambos instead of requested plant; Found information about Plectranthus amboinicus (also Coleus amboinicus) instead of requested plant; Found information about Syzygium cumini instead of requested plant; Found information about Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum) instead of requested plant; Found information about Brassica juncea instead of requested plant; No direct matches found for 'traditional benefits'. Showing semantically similar plants."
How endangered is moringa and where does it grow?,cross,iucn,IUCNAgent,0.07157440000446513,3,Moringa oleifera,0,1,
What are the uses and natural regions of hibiscus?,cross,gis,GISAgent,0.12405909999506548,3,Hibiscus rosa-sinensis,0,5,Found information about Hibiscus rosa-sinensis instead of requested plant; Found information about Nerium oleander instead of requested plant; Found information about Nerium oleander instead of requested plant; Found information about Punica granatum instead of requested plant; Found information about Mentha spp. instead of requested plant; No direct matches found for 'what are'. Showing semantically similar plants.
"Habitat, medicinal properties and threat level of holy basil.",cross,iucn,IUCNAgent,0.11050800001248717,3,Ocimum tenuiflorum (O. sanctum),0,1,
Give the GIS + IUCN details of Indian bael.,cross,iucn,IUCNAgent,0.12352899997495115,3,"Bambusoideae (subfamily, e.g. Bambusa vulgaris)",0,5,"Found information about Bambusoideae (subfamily, e.g. Bambusa vulgaris) instead of requested plant; Found information about Aegle marmelos instead of requested plant; Found information about Moringa oleifera instead of requested plant; Found information about Murraya koenigii (L.) Spreng. instead of requested plant; Found information about Santalum album instead of requested plant; No direct matches found for 'indian bael, give the'. Showing semantically similar plants."
How widespread is amaranth and what are its medicinal applications?,cross,research,ResearchAgent,0.16250889998627827,3,Amaranthus viridis,0,5,"Found information about Amaranthus viridis instead of requested plant; Found information about Nerium oleander instead of requested plant; Found information about Azadirachta indica instead of requested plant; Found information about Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum) instead of requested plant; Found information about Brassica juncea instead of requested plant; No direct matches found for 'how widespread'. Showing semantically similar plants."
Provide conservation data and distribution of jasmine shrubs.,cross,gis,GISAgent,0.11706530000083148,3,Tabernaemontana divaricata,0,3,
"Uses, habitat and IUCN category of rauvolfia serpentina.",cross,iucn,IUCNAgent,0.05969399999594316,5,Rauvolfia serpentina,1,5,
